TPs/TP_prueba2/out/TP_prueba2.elf:1a003de4 000000c8 t uartProcessIRQ
TPs/TP_prueba2/out/TP_prueba2.elf:10002254 00000004 b rxIsrCallbackUART0
TPs/TP_prueba2/out/TP_prueba2.elf:10002258 00000004 b rxIsrCallbackUART0Params
TPs/TP_prueba2/out/TP_prueba2.elf:1000225c 00000004 b rxIsrCallbackUART2
TPs/TP_prueba2/out/TP_prueba2.elf:10002260 00000004 b rxIsrCallbackUART2Params
TPs/TP_prueba2/out/TP_prueba2.elf:10002264 00000004 b rxIsrCallbackUART3
TPs/TP_prueba2/out/TP_prueba2.elf:10002268 00000004 b rxIsrCallbackUART3Params
TPs/TP_prueba2/out/TP_prueba2.elf:1000226c 00000004 b txIsrCallbackUART0
TPs/TP_prueba2/out/TP_prueba2.elf:10002270 00000004 b txIsrCallbackUART0Params
TPs/TP_prueba2/out/TP_prueba2.elf:10002274 00000004 b txIsrCallbackUART2
TPs/TP_prueba2/out/TP_prueba2.elf:10002278 00000004 b txIsrCallbackUART2Params
TPs/TP_prueba2/out/TP_prueba2.elf:1000227c 00000004 b txIsrCallbackUART3
TPs/TP_prueba2/out/TP_prueba2.elf:10002280 00000004 b txIsrCallbackUART3Params
TPs/TP_prueba2/out/TP_prueba2.elf:1a005ae4 00000048 t lpcUarts
TPs/TP_prueba2/out/TP_prueba2.elf:100000b5 00000001 b debugPrint
TPs/TP_prueba2/out/TP_prueba2.elf:100000b6 00000001 b contFalling.14527
TPs/TP_prueba2/out/TP_prueba2.elf:100000b7 00000001 b contRising.14528
TPs/TP_prueba2/out/TP_prueba2.elf:100000bc 00000004 b heap_end.5864
TPs/TP_prueba2/out/TP_prueba2.elf:1a000c5c 00000064 t prvHeapInit
TPs/TP_prueba2/out/TP_prueba2.elf:100000c4 00002000 b ucHeap
TPs/TP_prueba2/out/TP_prueba2.elf:1a000cc0 00000058 t prvInsertBlockIntoFreeList
TPs/TP_prueba2/out/TP_prueba2.elf:100000c0 00000004 b pxEnd
TPs/TP_prueba2/out/TP_prueba2.elf:100020c4 00000004 b xBlockAllocatedBit
TPs/TP_prueba2/out/TP_prueba2.elf:100020c8 00000004 b xFreeBytesRemaining
TPs/TP_prueba2/out/TP_prueba2.elf:100020cc 00000004 b xMinimumEverFreeBytesRemaining
TPs/TP_prueba2/out/TP_prueba2.elf:100020d0 00000008 b xStart
TPs/TP_prueba2/out/TP_prueba2.elf:1a000ea4 00000020 t prvGetNextExpireTime
TPs/TP_prueba2/out/TP_prueba2.elf:1a000ec4 00000048 t prvInsertTimerInActiveList
TPs/TP_prueba2/out/TP_prueba2.elf:1a000f0c 0000005c t prvCheckForValidListAndQueue
TPs/TP_prueba2/out/TP_prueba2.elf:1a001290 00000016 t prvTimerTask
TPs/TP_prueba2/out/TP_prueba2.elf:1a001024 00000078 t prvSwitchTimerLists
TPs/TP_prueba2/out/TP_prueba2.elf:1a00109c 0000002c t prvSampleTimeNow
TPs/TP_prueba2/out/TP_prueba2.elf:1a0010c8 00000060 t prvProcessExpiredTimer
TPs/TP_prueba2/out/TP_prueba2.elf:1a001128 00000074 t prvProcessTimerOrBlockTask
TPs/TP_prueba2/out/TP_prueba2.elf:1a00119c 000000f4 t prvProcessReceivedCommands
TPs/TP_prueba2/out/TP_prueba2.elf:100020d8 00000004 b pxCurrentTimerList
TPs/TP_prueba2/out/TP_prueba2.elf:100020dc 00000004 b pxOverflowTimerList
TPs/TP_prueba2/out/TP_prueba2.elf:100020e0 00000014 b xActiveTimerList1
TPs/TP_prueba2/out/TP_prueba2.elf:100020f4 00000014 b xActiveTimerList2
TPs/TP_prueba2/out/TP_prueba2.elf:10002108 00000004 b xLastTime.11818
TPs/TP_prueba2/out/TP_prueba2.elf:1000210c 00000004 b xTimerQueue
TPs/TP_prueba2/out/TP_prueba2.elf:10002110 00000004 b xTimerTaskHandle
TPs/TP_prueba2/out/TP_prueba2.elf:1a0012a8 00000040 t prvTaskIsTaskSuspended
TPs/TP_prueba2/out/TP_prueba2.elf:1a0012e8 0000002c t prvResetNextTaskUnblockTime
TPs/TP_prueba2/out/TP_prueba2.elf:1a001314 00000012 t prvDeleteTCB
TPs/TP_prueba2/out/TP_prueba2.elf:1a001326 00000090 t prvInitialiseNewTask
TPs/TP_prueba2/out/TP_prueba2.elf:1a0013b8 00000068 t prvInitialiseTaskLists
TPs/TP_prueba2/out/TP_prueba2.elf:1a001420 000000ac t prvAddNewTaskToReadyList
TPs/TP_prueba2/out/TP_prueba2.elf:1a0014cc 0000004c t prvCheckTasksWaitingTermination
TPs/TP_prueba2/out/TP_prueba2.elf:1a001518 00000028 t prvIdleTask
TPs/TP_prueba2/out/TP_prueba2.elf:1a001540 00000098 t prvAddCurrentTaskToDelayedList
TPs/TP_prueba2/out/TP_prueba2.elf:10002118 00000004 b pxDelayedTaskList
TPs/TP_prueba2/out/TP_prueba2.elf:1000211c 00000004 b pxOverflowDelayedTaskList
TPs/TP_prueba2/out/TP_prueba2.elf:10002120 0000008c b pxReadyTasksLists
TPs/TP_prueba2/out/TP_prueba2.elf:100021ac 00000004 b uxCurrentNumberOfTasks
TPs/TP_prueba2/out/TP_prueba2.elf:100021b0 00000004 b uxDeletedTasksWaitingCleanUp
TPs/TP_prueba2/out/TP_prueba2.elf:100021b4 00000004 b uxPendedTicks
TPs/TP_prueba2/out/TP_prueba2.elf:100021b8 00000004 b uxSchedulerSuspended
TPs/TP_prueba2/out/TP_prueba2.elf:100021bc 00000004 b uxTaskNumber
TPs/TP_prueba2/out/TP_prueba2.elf:100021c0 00000004 b uxTopReadyPriority
TPs/TP_prueba2/out/TP_prueba2.elf:100021c4 00000014 b xDelayedTaskList1
TPs/TP_prueba2/out/TP_prueba2.elf:100021d8 00000014 b xDelayedTaskList2
TPs/TP_prueba2/out/TP_prueba2.elf:100021ec 00000004 b xIdleTaskHandle
TPs/TP_prueba2/out/TP_prueba2.elf:100021f0 00000004 b xNextTaskUnblockTime
TPs/TP_prueba2/out/TP_prueba2.elf:100021f4 00000004 b xNumOfOverflows
TPs/TP_prueba2/out/TP_prueba2.elf:100021f8 00000014 b xPendingReadyList
TPs/TP_prueba2/out/TP_prueba2.elf:1000220c 00000004 b xSchedulerRunning
TPs/TP_prueba2/out/TP_prueba2.elf:10002210 00000014 b xSuspendedTaskList
TPs/TP_prueba2/out/TP_prueba2.elf:10002224 00000014 b xTasksWaitingTermination
TPs/TP_prueba2/out/TP_prueba2.elf:10002238 00000004 b xTickCount
TPs/TP_prueba2/out/TP_prueba2.elf:1000223c 00000004 b xYieldPending
TPs/TP_prueba2/out/TP_prueba2.elf:1a0021f8 00000012 t prvGetDisinheritPriorityAfterTimeout
TPs/TP_prueba2/out/TP_prueba2.elf:1a00220a 0000001e t prvIsQueueFull
TPs/TP_prueba2/out/TP_prueba2.elf:1a002228 0000001a t prvIsQueueEmpty
